Local time,Ask,Bid,AskVolume,BidVolume
07.11.2016 00:00:00.341,1.1095000000000002,1.1094600000000001,1.5,1
07.11.2016 00:00:00.650,1.10949,1.10943,2.62,4.87
07.11.2016 00:00:00.954,1.10949,1.1094600000000001,1,1
07.11.2016 00:00:01.424,1.10948,1.10944,1,1.12
07.11.2016 00:00:01.970,1.10948,1.10943,1.5,4.87
07.11.2016 00:00:02.274,1.1094700000000002,1.10942,1,3
07.11.2016 00:00:02.694,1.10945,1.10941,1,3
07.11.2016 00:00:03.504,1.1094600000000001,1.10941,1,2.17
07.11.2016 00:00:04.017,1.1094700000000002,1.10941,3.37,2.25
07.11.2016 00:00:04.583,1.10945,1.10941,1,2.25
07.11.2016 00:00:04.685,1.1094700000000002,1.10941,4.12,2.25
07.11.2016 00:00:04.839,1.10945,1.10941,1,2.25
07.11.2016 00:00:04.890,1.10945,1.10941,1,1.5
07.11.2016 00:00:05.734,1.1094700000000002,1.10945,1,4.5
07.11.2016 00:00:05.785,1.10949,1.10945,4.8,3.75
07.11.2016 00:00:06.139,1.10948,1.10943,1.5,1.5
07.11.2016 00:00:06.645,1.10948,1.10942,3.37,2.25
07.11.2016 00:00:07.329,1.1094600000000001,1.10943,1,1.15
07.11.2016 00:00:07.380,1.10948,1.10944,1.87,1.5
07.11.2016 00:00:07.482,1.1095000000000002,1.10944,5.62,2.85
07.11.2016 00:00:07.889,1.10948,1.10944,1,3.9
07.11.2016 00:00:08.393,1.10949,1.10945,1,1.5
07.11.2016 00:00:08.899,1.10949,1.10945,3.37,1.5
07.11.2016 00:00:09.451,1.1095000000000002,1.10945,2.62,1.5
07.11.2016 00:00:10.327,1.10951,1.1094600000000001,1.5,1.5
07.11.2016 00:00:10.631,1.10954,1.1095000000000002,1.5,1.5
07.11.2016 00:00:11.088,1.10954,1.1095000000000002,1.87,1.5
07.11.2016 00:00:11.385,1.10951,1.1094700000000002,1.5,2.62
07.11.2016 00:00:11.497,1.1095000000000002,1.1094700000000002,4.12,1
07.11.2016 00:00:11.599,1.10949,1.10945,1,2.25
07.11.2016 00:00:11.785,1.10945,1.10944,1,3
07.11.2016 00:00:11.937,1.10945,1.1094000000000002,1.75,2.25
07.11.2016 00:00:13.263,1.10945,1.10941,1.75,1
07.11.2016 00:00:14.762,1.10945,1.10942,1.75,2.25
07.11.2016 00:00:14.813,1.1094600000000001,1.10942,1.5,2.25
07.11.2016 00:00:15.362,1.1094600000000001,1.10942,1.12,2.4
07.11.2016 00:00:15.870,1.1094600000000001,1.10944,1.12,1.2
07.11.2016 00:00:16.175,1.10948,1.1094600000000001,2.25,2.25
07.11.2016 00:00:16.276,1.1095000000000002,1.1094600000000001,2.62,2.25
07.11.2016 00:00:16.783,1.10951,1.1094600000000001,1.5,2.25
07.11.2016 00:00:18.166,1.10952,1.1094700000000002,4.12,1
07.11.2016 00:00:18.268,1.10952,1.10949,3.37,1
07.11.2016 00:00:18.471,1.10954,1.10949,5.62,1
07.11.2016 00:00:18.977,1.10954,1.10948,4.12,3.75
07.11.2016 00:00:19.230,1.10955,1.10949,7.12,4.35
07.11.2016 00:00:19.862,1.10954,1.1095000000000002,1.12,1.5
07.11.2016 00:00:20.442,1.10955,1.1095000000000002,5.62,1.87
07.11.2016 00:00:20.897,1.1095000000000002,1.10948,1,1
07.11.2016 00:00:20.948,1.1095000000000002,1.1094600000000001,1,1
07.11.2016 00:00:21.484,1.1095000000000002,1.1094600000000001,2.62,1
07.11.2016 00:00:21.788,1.1095000000000002,1.10949,1,1
07.11.2016 00:00:21.839,1.10951,1.10949,1.87,1
07.11.2016 00:00:22.043,1.10953,1.10948,1.12,2.25
07.11.2016 00:00:22.549,1.10953,1.10948,2.62,3
07.11.2016 00:00:23.095,1.10954,1.10949,4.12,4.65
07.11.2016 00:00:23.602,1.10955,1.10949,7.87,6.6
07.11.2016 00:00:27.951,1.10955,1.10954,4.12,1.5
07.11.2016 00:00:28.054,1.10956,1.10954,1,3
07.11.2016 00:00:28.105,1.10959,1.10956,1.87,1
07.11.2016 00:00:28.156,1.1096000000000001,1.10956,2.62,1
07.11.2016 00:00:29.659,1.10962,1.10956,2.25,2.25
07.11.2016 00:00:30.084,1.10962,1.10958,3,1
07.11.2016 00:00:30.237,1.10963,1.10959,1.12,7.35
07.11.2016 00:00:30.339,1.10966,1.1096000000000001,3,2.25
