Local time,Ask,Bid,AskVolume,BidVolume
14.09.2016 01:00:01.391,47.305,47.245,0.0001,0
14.09.2016 01:00:01.614,47.325,47.255,0.0001,0
14.09.2016 01:00:01.764,47.325,47.265,0.0001,0
14.09.2016 01:00:02.066,47.315,47.255,0.0001,0
14.09.2016 01:00:03.218,47.31,47.25,0.0001,0
14.09.2016 01:00:03.618,47.305,47.245,0.0001,0
14.09.2016 01:00:06.423,47.300000000000004,47.24,0.0001,0
14.09.2016 01:00:07.133,47.295,47.235,0.0001,0
14.09.2016 01:00:10.229,47.28,47.22,0.0001,0
14.09.2016 01:00:10.636,47.275,47.215,0.0001,0
14.09.2016 01:00:12.986,47.28,47.22,0.0001,0
14.09.2016 01:00:25.965,47.285000000000004,47.225,0.0001,0
14.09.2016 01:01:05.511,47.28,47.22,0.0001,0
14.09.2016 01:01:08.923,47.285000000000004,47.225,0.0001,0
14.09.2016 01:01:19.072,47.28,47.22,0.0001,0
14.09.2016 01:01:28.683,47.275,47.215,0.0001,0
14.09.2016 01:01:36.092,47.27,47.21,0.0001,0
14.09.2016 01:01:52.584,47.26,47.2,0.0001,0
14.09.2016 01:02:07.122,47.265,47.205,0.0001,0
14.09.2016 01:02:19.713,47.27,47.21,0.0001,0
14.09.2016 01:02:30.549,47.275,47.215,0.0001,0
14.09.2016 01:02:53.604,47.28,47.22,0.0001,0
14.09.2016 01:02:59.680,47.29,47.230000000000004,0.0001,0
14.09.2016 01:03:16.397,47.285000000000004,47.225,0.0001,0
14.09.2016 01:03:16.837,47.275,47.215,0.0001,0
14.09.2016 01:03:18.699,47.28,47.22,0.0001,0
14.09.2016 01:03:19.900,47.275,47.215,0.0001,0
14.09.2016 01:03:30.710,47.27,47.21,0.0001,0
14.09.2016 01:03:35.521,47.275,47.215,0.0001,0
14.09.2016 01:03:39.422,47.27,47.21,0.0001,0
14.09.2016 01:03:39.820,47.28,47.22,0.0001,0
14.09.2016 01:03:41.021,47.285000000000004,47.225,0.0001,0
14.09.2016 01:03:51.932,47.29,47.230000000000004,0.0001,0
14.09.2016 01:05:43.063,47.295,47.235,0.0001,0
14.09.2016 01:06:19.404,47.29,47.230000000000004,0.0001,0
14.09.2016 01:06:19.726,47.285000000000004,47.225,0.0001,0
14.09.2016 01:06:24.210,47.29,47.230000000000004,0.0001,0
14.09.2016 01:07:00.848,47.295,47.235,0.0001,0
14.09.2016 01:07:36.395,47.31,47.25,0.0001,0
14.09.2016 01:09:00.893,47.315,47.255,0.0001,0
14.09.2016 01:09:11.293,47.31,47.25,0.0001,0
14.09.2016 01:10:00.356,47.305,47.245,0.0001,0
14.09.2016 01:10:12.167,47.300000000000004,47.24,0.0001,0
14.09.2016 01:12:10.198,47.305,47.245,0.0001,0
14.09.2016 01:12:49.341,47.325,47.265,0.0001,0
14.09.2016 01:12:49.899,47.33,47.27,0.0001,0
14.09.2016 01:12:57.552,47.325,47.265,0.0001,0
14.09.2016 01:13:19.079,47.33,47.27,0.0001,0
14.09.2016 01:13:38.901,47.335,47.275,0.0001,0
14.09.2016 01:13:56.458,47.33,47.27,0.0001,0
14.09.2016 01:14:50.454,47.335,47.275,0.0001,0
14.09.2016 01:15:40.967,47.34,47.28,0.0001,0
14.09.2016 01:16:01.394,47.335,47.275,0.0001,0
14.09.2016 01:16:16.609,47.34,47.28,0.0001,0
14.09.2016 01:16:17.373,47.345,47.285000000000004,0.0001,0
