Timestamp,Balance,BRENTX
2016-09-12 16:41:29.890000, Balance: 10005.65,0.00, 0
2016-09-12 16:46:17.173000, Balance: 10005.65,0.00, 0
2016-09-12 16:51:19.261000, Balance: 10005.65,0.00, 0
2016-09-12 16:58:07.029000, Balance: 10005.65,0.00, 0
2016-09-12 17:01:40.550000, Balance: 10005.65,0.00, 0
2016-09-12 17:06:00.571000, Balance: 10005.65,0.00, 0
2016-09-12 17:10:59.331000, Balance: 10005.65,0.00, 0
2016-09-12 17:15:22.100000, Balance: 10005.65,0.00, 0
2016-09-12 17:20:01.662000, Balance: 10005.65,0.00, 0
2016-09-12 17:23:59.984000, Balance: 10005.65,0.00, 0
2016-09-12 17:29:44.584000, Balance: 10005.65,0.00, 0
2016-09-12 17:34:26.995000, Balance: 10005.65,0.00, 0
2016-09-12 17:39:08.630000, Balance: 10005.65,0.00, 0
2016-09-12 17:43:29.302000, Balance: 10005.65,0.00, 0
2016-09-12 17:48:43.473000, Balance: 10005.65,0.00, 0
2016-09-12 17:55:03.898000, Balance: 10005.65,0.00, 0
2016-09-12 18:02:13.300000, Balance: 10005.65,0.00, 0
2016-09-12 18:08:12.089000, Balance: 10005.65,0.00, 0
2016-09-12 18:14:21.202000, Balance: 10005.65,0.00, 0
2016-09-12 18:16:18.528000, Balance: 10005.65,0.00, 0
2016-09-12 18:18:06.643000, Balance: 10005.65,0.00, 0
2016-09-12 18:20:04.811000, Balance: 10005.65,0.00, 0
2016-09-12 18:22:10.184000, Balance: 10005.65,0.00, 0
2016-09-12 18:24:04.950000, Balance: 10005.65,0.00, 0
2016-09-12 18:26:03.164000, Balance: 10005.65,0.00, 0
2016-09-12 18:28:13.140000, Balance: 10005.65,0.00, 0
2016-09-12 18:29:53.721000, Balance: 10005.65,0.00, 0
2016-09-12 18:31:16.906000, Balance: 10005.65, Current Profit: -0.90000, Units -10
2016-09-12 18:33:02.280000, Balance: 10005.65, Current Profit: -0.80000, Units -10
2016-09-12 18:34:49.308000, Balance: 10005.65, Current Profit: -1.40000, Units -10
2016-09-12 18:36:48.664000, Balance: 10005.65, Current Profit: -1.25000, Units -10
2016-09-12 18:38:57.698000, Balance: 10005.65, Current Profit: -2.02500, Units -10
2016-09-12 18:41:00.503000, Balance: 10005.65, Current Profit: -1.40000, Units -10
2016-09-12 18:43:40.290000, Balance: 10005.65, Current Profit: -1.55000, Units -10
2016-09-12 18:46:03.617000, Balance: 10005.65, Current Profit: -2.20000, Units -10
2016-09-12 18:48:41.033000, Balance: 10005.65, Current Profit: -2.57500, Units -10
2016-09-12 18:51:45.662000, Balance: 10005.65, Current Profit: -2.37500, Units -10
2016-09-12 18:55:15.010000, Balance: 10005.65, Current Profit: -2.65000, Units -10
2016-09-12 18:58:18.953000, Balance: 10005.65, Current Profit: -2.55000, Units -10
2016-09-12 19:01:52.645000, Balance: 10005.65, Current Profit: -2.85000, Units -10
2016-09-12 19:05:02.258000, Balance: 10005.65, Current Profit: -2.80000, Units -10
2016-09-12 19:08:18.136000, Balance: 10005.65, Current Profit: -2.35000, Units -10
2016-09-12 19:12:00.145000, Balance: 10005.65, Current Profit: -2.50000, Units -10
2016-09-12 19:15:12.697000, Balance: 10005.65, Current Profit: -2.32500, Units -10
2016-09-12 19:19:44.244000, Balance: 10005.65, Current Profit: -2.30000, Units -10
