Time,open,high,low,close
2016-06-01 00:00:00,1.11319,1.1132,1.11317,1.1132
2016-06-01 00:01:00,1.11322,1.11322,1.11313,1.11313
2016-06-01 00:02:00,1.11313,1.11317,1.11311,1.11315
2016-06-01 00:03:00,1.11314,1.11325,1.11314,1.11325
2016-06-01 00:04:00,1.11325,1.11326,1.11325,1.11325
2016-06-01 00:05:00,1.11326,1.11326,1.11324,1.11325
2016-06-01 00:06:00,1.11326,1.11326,1.11325,1.11326
2016-06-01 00:07:00,1.11327,1.11327,1.11322,1.11322
2016-06-01 00:08:00,1.11324,1.11327,1.11324,1.11327
2016-06-01 00:09:00,1.11327,1.11327,1.11324,1.11325
2016-06-01 00:10:00,1.11325,1.11325,1.11322,1.11325
2016-06-01 00:11:00,1.11325,1.11325,1.11322,1.11322
2016-06-01 00:12:00,1.11322,1.11322,1.11322,1.11322
2016-06-01 00:13:00,1.11322,1.11322,1.1132,1.1132
2016-06-01 00:14:00,1.1132,1.11321,1.1132,1.11321
2016-06-01 00:15:00,1.1132,1.11321,1.1132,1.1132
2016-06-01 00:16:00,1.1132,1.11321,1.1132,1.1132
2016-06-01 00:17:00,1.11322,1.11329,1.11322,1.11329
2016-06-01 00:18:00,1.1133,1.1133,1.11322,1.11324
2016-06-01 00:19:00,1.11324,1.11324,1.11322,1.11324
2016-06-01 00:20:00,1.11325,1.11325,1.11325,1.11325
2016-06-01 00:21:00,1.11324,1.11324,1.11317,1.11321
2016-06-01 00:22:00,1.1132,1.11322,1.1132,1.11322
2016-06-01 00:23:00,,,,
2016-06-01 00:24:00,1.11321,1.11321,1.11321,1.11321
2016-06-01 00:25:00,1.11321,1.11321,1.1132,1.1132
2016-06-01 00:26:00,1.11317,1.11322,1.11317,1.11322
2016-06-01 00:27:00,1.11322,1.11323,1.11322,1.11322
2016-06-01 00:28:00,1.11322,1.11322,1.1131,1.11312
2016-06-01 00:29:00,1.11309,1.1131,1.11307,1.1131
2016-06-01 00:30:00,1.11309,1.11314,1.11309,1.11314
2016-06-01 00:31:00,1.11313,1.11316,1.1131,1.11316
2016-06-01 00:32:00,1.11328,1.11332,1.11328,1.1133
2016-06-01 00:33:00,1.11329,1.11336,1.11329,1.11336
2016-06-01 00:34:00,1.11337,1.1134,1.11336,1.11336
2016-06-01 00:35:00,1.11334,1.11334,1.1133,1.1133
2016-06-01 00:36:00,1.1133,1.11331,1.11324,1.11324
2016-06-01 00:37:00,1.11324,1.11325,1.11323,1.11323
2016-06-01 00:38:00,1.11322,1.11326,1.11307,1.11326
