Local time,Ask,Bid,AskVolume,BidVolume
26.10.2016 00:00:01.967,1.21814,1.2179200000000001,1.5,1
26.10.2016 00:00:05.435,1.21814,1.21791,1.12,3.37
26.10.2016 00:00:06.665,1.21814,1.21791,3,3
26.10.2016 00:00:10.055,1.21814,1.21793,2.25,2.25
26.10.2016 00:01:02.427,1.21814,1.21793,2.25,2.25
26.10.2016 00:01:05.371,1.21814,1.21793,3.37,3
26.10.2016 00:01:10.278,1.21805,1.21791,1,1.87
26.10.2016 00:01:10.329,1.21805,1.21791,1.5,2.25
26.10.2016 00:01:10.852,1.2180600000000001,1.21791,2.25,1.5
26.10.2016 00:01:12.836,1.2180600000000001,1.2179,1.5,1.5
26.10.2016 00:01:13.381,1.2180600000000001,1.21791,1.5,1.5
26.10.2016 00:01:13.635,1.21805,1.21789,1,1.5
26.10.2016 00:01:19.619,1.21805,1.21788,1,2.25
26.10.2016 00:01:40.084,1.21804,1.21788,1,1.5
26.10.2016 00:01:55.532,1.21798,1.21788,2.25,1.5
26.10.2016 00:01:55.648,1.21802,1.21784,1.12,1
26.10.2016 00:01:56.159,1.21803,1.21784,1.5,1.37
26.10.2016 00:02:01.727,1.21802,1.21785,1,1
26.10.2016 00:02:02.230,1.21803,1.21784,1.75,1.5
26.10.2016 00:02:02.736,1.21802,1.21784,1.5,1
26.10.2016 00:02:06.317,1.21802,1.21784,2.62,1
26.10.2016 00:02:07.333,1.21798,1.21784,1,1
26.10.2016 00:02:11.246,1.21798,1.21783,1.5,1.5
26.10.2016 00:02:11.777,1.21798,1.2178200000000001,1,2.62
26.10.2016 00:02:12.082,1.21798,1.21785,1,1
26.10.2016 00:02:13.378,1.21798,1.21784,1,1
26.10.2016 00:02:14.272,1.2179600000000002,1.21784,1,1
26.10.2016 00:02:16.274,1.2179700000000002,1.21784,1.87,1
26.10.2016 00:02:16.842,1.2179700000000002,1.21784,1.87,1
26.10.2016 00:02:17.557,1.2179700000000002,1.2178200000000001,1.12,3
26.10.2016 00:02:17.912,1.2179700000000002,1.21784,1.37,1
26.10.2016 00:02:18.065,1.21803,1.2178700000000002,3,1
26.10.2016 00:02:18.167,1.21802,1.21789,1,1
26.10.2016 00:02:18.471,1.218,1.21791,1.5,1
26.10.2016 00:02:19.032,1.21801,1.21791,1.87,1
26.10.2016 00:02:19.816,1.21802,1.21791,2.25,1
26.10.2016 00:02:20.229,1.2179900000000001,1.21791,1,1
26.10.2016 00:02:20.281,1.218,1.2178600000000002,1,1
26.10.2016 00:02:21.300,1.21801,1.2178600000000002,2.25,1
26.10.2016 00:02:21.695,1.218,1.21784,1,1
26.10.2016 00:02:22.226,1.218,1.21784,2.25,1
26.10.2016 00:02:24.040,1.218,1.21784,1.12,1
26.10.2016 00:02:24.970,1.218,1.21783,2.25,1
26.10.2016 00:02:29.462,1.2179900000000001,1.21783,1.37,1
26.10.2016 00:02:30.480,1.2179700000000002,1.21783,1,1
26.10.2016 00:02:37.382,1.2179700000000002,1.21785,1.12,1
26.10.2016 00:02:38.183,1.2179900000000001,1.21785,1.12,1
26.10.2016 00:02:42.377,1.2179900000000001,1.21785,1.37,1
26.10.2016 00:02:51.219,1.218,1.21785,2.25,1
26.10.2016 00:02:51.371,1.21803,1.21785,3.37,1
26.10.2016 00:02:51.676,1.218,1.21785,1,1
26.10.2016 00:02:55.750,1.218,1.21784,1,1
26.10.2016 00:02:56.277,1.218,1.21785,1,1
26.10.2016 00:02:56.784,1.218,1.21784,1.5,1
26.10.2016 00:02:59.438,1.218,1.2178600000000002,1.87,1
26.10.2016 00:03:11.327,1.2179900000000001,1.2178600000000002,1,1
26.10.2016 00:03:12.374,1.21798,1.2178600000000002,1,1
26.10.2016 00:03:12.455,1.21798,1.21784,1.5,1
26.10.2016 00:03:13.419,1.2179700000000002,1.21784,1,1
26.10.2016 00:03:21.546,1.2179700000000002,1.2178200000000001,1.12,3
26.10.2016 00:03:22.243,1.2179700000000002,1.21784,1.12,1
26.10.2016 00:03:22.766,1.2179700000000002,1.21785,1.12,1
26.10.2016 00:03:23.466,1.2179600000000002,1.21785,1,1
26.10.2016 00:03:24.486,1.21798,1.21785,2.62,1
26.10.2016 00:03:25.146,1.21798,1.2178700000000002,1.12,1
26.10.2016 00:03:29.208,1.21798,1.2178700000000002,1.37,1
26.10.2016 00:03:32.579,1.2179700000000002,1.2178600000000002,1,1
26.10.2016 00:03:43.842,1.21798,1.2178600000000002,1.12,1
